artist,title,cosine_sim,in_country
A Ap Ferg,New Level,0.023463778100162893,0
Drake,4422,0.02347638994054345,0
Fetty Wap,RGF Island,0.023513056186314746,0
Louis Tomlinson,Back To You,0.023523757936574,0
Kid Ink,Promise,0.02355785365167805,0
Billie Eilish,You Should See Me In A Crown,0.023566162170569647,0
Maroon 5,Dont Wanna Know,0.02357031567499377,0
Halsey,Now Or Never,0.02357873595312838,0
Jason Derulo,Cheyenne,0.023580367604751892,0
Janelle Monae,Make Me Feel,0.023627425164129287,0
Future,Mask Off,0.023658703315918166,0
Taylor Swift,Call It What You Want,0.023666720251869514,0
Meghan Trainor,No Excuses,0.023673449888099905,0
Drake,Fake Love,0.023691507693697062,0
Lil Uzi Vert,Sauce It Up,0.023723872509408522,0
The Chainsmokers,Paris,0.02373630103467585,0
City Girls,Twerk,0.02373669112452343,0
Future,Jersey,0.023741529132019087,0
Childish Gambino,Me And Your Mama,0.02374189800544552,0
The Chainsmokers,Roses,0.023760488020405566,0
French Montana,Lockjaw,0.023768309235322995,0
TK Kravitz,Ocean,0.023800987880596102,0
Kelly Clarkson,Love So Soft,0.023814918981717535,0
gnash,I Hate U I Love U,0.02381907080799612,0
Miley Cyrus,Younger Now,0.023836382074425726,0
Ayo and Teo,Rolex,0.02385233633539645,0
"21 Savage, Offset and Metro Boomin",Mad Stalkers,0.023860717420108698,0
Lil Peep,Awful Things,0.023865052859915907,0
Quavo,W O R K I N  M E,0.023872176017114652,0
The Weeknd,Wasted Times,0.023910920823354144,0
Lil Uzi Vert,No Sleep Leak,0.023914498211818846,0
6ix9ine,Gummo,0.023920891723770266,0
Beyonce,Sandcastles,0.02392961004875649,0
Rae Sremmurd,Throw Sum Mo,0.023955196233577836,0
6ix9ine,Rondo,0.02397111268981364,0
5 Seconds Of Summer,Dont Stop,0.023995010475958325,0
Rihanna,Work,0.02400410463674036,0
Travis Scott,3500,0.02401435382789225,0
Halsey,Alone,0.024015822274979996,0
Juice WRLD,Make It Back,0.024018939504466513,0
Travis Scott,Astrothunder,0.024020132941791072,0
Sam Smith,Stay With Me,0.024035481291757362,0
Lea Michele,Cannonball,0.02405007476948219,0
Ty Dolla sign,Saved,0.02405457497908903,0
Rae Sremmurd,No Type,0.024074618375951644,0
Olivia OBrien,Hate U Love U,0.024092186015848904,0
Justin Bieber,Confident,0.024116742414172474,0
I LOVE MAKONNEN,Tuesday,0.024120512544408935,0
Justin Timberlake,Say Something,0.024131699883769807,0
Future,Cuddle My Wrist,0.02413601043436193,0
